year	category	n
0715	10th St & Penn Ave (David L. Lawrence Convention Center)	-38
0715	12th St & Penn Ave	53
0715	17th St & Penn Ave	-15
0715	21st St & Penn Ave	-61
0715	37th St & Butler St	-81
0715	42nd & Penn Ave.	74
0715	42nd St & Butler St	-99
0715	Alder St & S Highland Ave	-24
0715	Atwood St & Bates St	37
0715	Bigelow Blvd & Fifth Ave	41
0715	Boulevard of the Allies & Parkview Ave	8
0715	Centre Ave & Kirkpatrick St	10
0715	Centre Ave & PPG Paints Arena	49
0715	Coltart Ave & Forbes Ave	32
0715	Ellsworth Ave & N Neville St	15
0715	Federal St & E North Ave	15
0715	Fifth Ave & S Bouquet St	6
0715	Fifth Ave & S Dithridge St	34
0715	First Ave & B St (T Station)	26
0715	First Ave & Smithfield St (Art Institute)	-6
0715	Forbes Ave & Grant St	37
0715	Forbes Ave & Market Square	-76
0715	Fort Duquesne Blvd & 7th St	-26
0715	Frew St & Schenley Dr	0
0715	Isabella St & Federal St (PNC Park)	-17
0715	Ivy St & Walnut St	21
0715	Liberty Ave & Baum Blvd	13
0715	Liberty Ave & S Millvale Ave (West Penn Hospital)	50
0715	Liberty Ave & Stanwix St	-64
0715	Maryland Ave & Ellsworth Ave	7
0715	North Shore Trail & Fort Duquesne Bridge	-66
0715	Penn Ave & N Fairmount St	29
0715	Penn Ave & Putnam St (Bakery Square)	8
0715	Penn Ave & S Whitfield St	-2
0715	Ridge Ave & Brighton Rd (CCAC)	23
0715	Ross St & Sixth Ave (Steel Plaza T Station)	10
0715	S 12th St & E Carson St	-19
0715	S 18th St & Sidney St	-47
0715	S 22nd St & E Carson St	-32
0715	S 25th St & E Carson St	36
0715	S 27th St & Sidney St. (Southside Works)	-95
0715	S Euclid Ave & Centre Ave	5
0715	S Negley Ave & Baum Blvd	-2
0715	Schenley Dr at Schenley Plaza (Carnegie Library Main)	-21
0715	Shady Ave & Ellsworth Ave	20
0715	Stevenson St & Forbes Ave	-1
0715	Taylor St & Liberty Ave	51
0715	Third Ave & Wood St	41
0715	Walnut St & College St	43
0715	Zulema St & Coltart Ave	18
0815	10th St & Penn Ave (David L. Lawrence Convention Center)	-14
0815	12th St & Penn Ave	34
0815	17th St & Penn Ave	-38
0815	21st St & Penn Ave	-53
0815	37th St & Butler St	-11
0815	42nd & Penn Ave.	69
0815	42nd St & Butler St	-49
0815	Alder St & S Highland Ave	1
0815	Atwood St & Bates St	18
0815	Bigelow Blvd & Fifth Ave	42
0815	Boulevard of the Allies & Parkview Ave	23
0815	Centre Ave & Kirkpatrick St	7
0815	Centre Ave & PPG Paints Arena	30
0815	Coltart Ave & Forbes Ave	16
0815	Ellsworth Ave & N Neville St	16
0815	Federal St & E North Ave	-11
0815	Fifth Ave & S Bouquet St	27
0815	Fifth Ave & S Dithridge St	31
0815	First Ave & B St (T Station)	5
0815	First Ave & Smithfield St (Art Institute)	-10
0815	Forbes Ave & Grant St	7
0815	Forbes Ave & Market Square	-43
0815	Fort Duquesne Blvd & 7th St	-10
0815	Frew St & Schenley Dr	0
0815	Isabella St & Federal St (PNC Park)	-22
0815	Ivy St & Walnut St	35
0815	Liberty Ave & Baum Blvd	-12
0815	Liberty Ave & S Millvale Ave (West Penn Hospital)	63
0815	Liberty Ave & Stanwix St	-65
0815	Maryland Ave & Ellsworth Ave	25
0815	North Shore Trail & Fort Duquesne Bridge	-72
0815	Penn Ave & N Fairmount St	21
0815	Penn Ave & Putnam St (Bakery Square)	-18
0815	Penn Ave & S Whitfield St	-8
0815	Ridge Ave & Brighton Rd (CCAC)	-11
0815	Ross St & Sixth Ave (Steel Plaza T Station)	15
0815	S 12th St & E Carson St	-38
0815	S 18th St & Sidney St	-11
0815	S 22nd St & E Carson St	3
0815	S 25th St & E Carson St	-9
0815	S 27th St & Sidney St. (Southside Works)	-120
0815	S Euclid Ave & Centre Ave	-2
0815	S Negley Ave & Baum Blvd	33
0815	Schenley Dr at Schenley Plaza (Carnegie Library Main)	-25
0815	Shady Ave & Ellsworth Ave	11
0815	Stevenson St & Forbes Ave	-3
0815	Taylor St & Liberty Ave	53
0815	Third Ave & Wood St	23
0815	Walnut St & College St	49
0815	Zulema St & Coltart Ave	40
0915	Liberty Ave & Stanwix St	-38
0915	Forbes Ave & Market Square	-46
0915	Third Ave & Wood St	13
0915	First Ave & Smithfield St (Art Institute)	-12
0915	First Ave & B St (T Station)	34
0915	Forbes Ave & Grant St	-28
0915	Ross St & Sixth Ave (Steel Plaza T Station)	2
0915	Stevenson St & Forbes Ave	2
0915	Centre Ave & PPG Paints Arena	21
0915	12th St & Penn Ave	36
0915	10th St & Penn Ave (David L. Lawrence Convention Center)	-55
0915	Fort Duquesne Blvd & 7th St	6
0915	North Shore Trail & Fort Duquesne Bridge	-77
0915	Isabella St & Federal St (PNC Park)	-10
0915	Ridge Ave & Brighton Rd (CCAC)	-8
0915	Federal St & E North Ave	-20
0915	17th St & Penn Ave	-35
0915	21st St & Penn Ave	-58
0915	37th St & Butler St	-9
0915	42nd St & Butler St	-59
0915	42nd & Penn Ave.	77
0915	Taylor St & Liberty Ave	116
0915	Liberty Ave & S Millvale Ave (West Penn Hospital)	61
0915	Liberty Ave & Baum Blvd	-19
0915	S Negley Ave & Baum Blvd	14
0915	Penn Ave & N Fairmount St	68
0915	Penn Ave & S Whitfield St	-15
0915	Shady Ave & Ellsworth Ave	19
0915	Penn Ave & Putnam St (Bakery Square)	-15
0915	Alder St & S Highland Ave	-10
0915	S Euclid Ave & Centre Ave	-17
0915	Maryland Ave & Ellsworth Ave	17
0915	Walnut St & College St	53
0915	Ivy St & Walnut St	-6
0915	Ellsworth Ave & N Neville St	40
0915	Fifth Ave & S Dithridge St	50
0915	Schenley Dr at Schenley Plaza (Carnegie Library Main)	-7
0915	Frew St & Schenley Dr	-10
0915	Boulevard of the Allies & Parkview Ave	-11
0915	Atwood St & Bates St	25
0915	Bigelow Blvd & Fifth Ave	25
0915	Fifth Ave & S Bouquet St	56
0915	Centre Ave & Kirkpatrick St	14
0915	Coltart Ave & Forbes Ave	11
0915	Zulema St & Coltart Ave	-20
0915	S 27th St & Sidney St. (Southside Works)	-122
0915	S 25th St & E Carson St	-32
0915	S 22nd St & E Carson St	23
0915	S 18th St & Sidney St	1
0915	S 12th St & E Carson St	-40
1015	Liberty Ave & Stanwix St	-47
1015	Forbes Ave & Market Square	-75
1015	Third Ave & Wood St	-12
1015	First Ave & Smithfield St (Art Institute)	-9
1015	First Ave & B St (T Station)	51
1015	Forbes Ave & Grant St	-39
1015	Ross St & Sixth Ave (Steel Plaza T Station)	29
1015	Stevenson St & Forbes Ave	18
1015	Centre Ave & PPG Paints Arena	35
1015	12th St & Penn Ave	58
1015	10th St & Penn Ave (David L. Lawrence Convention Center)	-33
1015	Fort Duquesne Blvd & 7th St	11
1015	North Shore Trail & Fort Duquesne Bridge	-20
1015	Isabella St & Federal St (PNC Park)	5
1015	Ridge Ave & Brighton Rd (CCAC)	-37
1015	Federal St & E North Ave	-22
1015	17th St & Penn Ave	-38
1015	21st St & Penn Ave	-67
1015	37th St & Butler St	-22
1015	42nd St & Butler St	-108
1015	42nd & Penn Ave.	93
1015	Taylor St & Liberty Ave	117
