time,value
Mon00,105
Mon01,78
Mon02,61
Mon03,19
Mon04,34
Mon05,88
Mon06,145
Mon07,540
Mon08,774
Mon09,578
Mon10,633
Mon11,852
Mon12,895
Mon13,909
Mon14,901
Mon15,948
Mon16,1207
Mon17,1413
Mon18,1169
Mon19,909
Mon20,576
Mon21,374
Mon22,271
Mon23,188
Tue00,93
Tue01,62
Tue02,50
Tue03,15
Tue04,19
Tue05,96
Tue06,187
Tue07,560
Tue08,889
Tue09,624
Tue10,539
Tue11,653
Tue12,861
Tue13,809
Tue14,778
Tue15,826
Tue16,1135
Tue17,1562
Tue18,1301
Tue19,925
Tue20,716
Tue21,437
Tue22,285
Tue23,180
Wes00,98
Wes01,51
Wes02,33
Wes03,14
Wes04,20
Wes05,131
Wes06,182
Wes07,567
Wes08,903
Wes09,613
Wes10,567
Wes11,736
Wes12,953
Wes13,921
Wes14,843
Wes15,869
Wes16,1275
Wes17,1840
Wes18,1490
Wes19,1139
Wes20,717
Wes21,524
Wes22,365
Wes23,268
Thu00,117
Thu01,93
Thu02,38
Thu03,26
Thu04,17
Thu05,92
Thu06,185
Thu07,645
Thu08,867
Thu09,607
Thu10,600
Thu11,692
Thu12,911
Thu13,780
Thu14,806
Thu15,866
Thu16,1081
Thu17,1564
Thu18,1231
Thu19,967
Thu20,694
Thu21,472
Thu22,380
Thu23,284
Fri00,159
Fri01,70
Fri02,62
Fri03,31
Fri04,27
Fri05,76
Fri06,171
Fri07,551
Fri08,808
Fri09,603
Fri10,631
Fri11,890
Fri12,1128
Fri13,1028
Fri14,1007
Fri15,1068
Fri16,1402
Fri17,1548
Fri18,1217
Fri19,1025
Fri20,697
Fri21,537
Fri22,472
Fri23,318
Sat00,289
Sat01,189
Sat02,150
Sat03,58
Sat04,42
Sat05,36
Sat06,93
Sat07,213
Sat08,366
Sat09,746
Sat10,1324
Sat11,1725
Sat12,1884
Sat13,2139
Sat14,2151
Sat15,2012
Sat16,1775
Sat17,1318
Sat18,1095
Sat19,1007
Sat20,709
Sat21,501
Sat22,448
Sat23,343
Sun00,287
Sun01,175
Sun02,169
Sun03,76
Sun04,37
Sun05,54
Sun06,86
Sun07,258
Sun08,483
Sun09,856
Sun10,1208
Sun11,1620
Sun12,1821
Sun13,1748
Sun14,1843
Sun15,1755
Sun16,1655
Sun17,1480
Sun18,1156
Sun19,917
Sun20,619
Sun21,360
Sun22,277
Sun23,177
