date,total
Mon00,149
Mon01,63
Mon02,62
Mon03,48
Mon04,29
Mon05,47
Mon06,149
Mon07,432
Mon08,788
Mon09,504
Mon10,470
Mon11,708
Mon12,880
Mon13,879
Mon14,882
Mon15,901
Mon16,1165
Mon17,1438
Mon18,1141
Mon19,957
Mon20,736
Mon21,477
Mon22,277
Mon23,248
Tue00,129
Tue01,70
Tue02,59
Tue03,20
Tue04,24
Tue05,41
Tue06,165
Tue07,457
Tue08,869
Tue09,634
Tue10,490
Tue11,527
Tue12,765
Tue13,824
Tue14,738
Tue15,843
Tue16,975
Tue17,1489
Tue18,1254
Tue19,963
Tue20,846
Tue21,543
Tue22,348
Tue23,204
Wes00,132
Wes01,53
Wes02,38
Wes03,18
Wes04,18
Wes05,74
Wes06,178
Wes07,458
Wes08,905
Wes09,603
Wes10,465
Wes11,644
Wes12,873
Wes13,891
Wes14,829
Wes15,826
Wes16,1163
Wes17,1635
Wes18,1450
Wes19,1216
Wes20,923
Wes21,636
Wes22,429
Wes23,285
Thu00,164
Thu01,93
Thu02,50
Thu03,24
Thu04,25
Thu05,45
Thu06,169
Thu07,519
Thu08,890
Thu09,587
Thu10,553
Thu11,570
Thu12,770
Thu13,848
Thu14,743
Thu15,888
Thu16,984
Thu17,1484
Thu18,1199
Thu19,1009
Thu20,782
Thu21,558
Thu22,421
Thu23,331
Fri00,196
Fri01,89
Fri02,73
Fri03,42
Fri04,22
Fri05,48
Fri06,148
Fri07,458
Fri08,797
Fri09,561
Fri10,518
Fri11,672
Fri12,1001
Fri13,1016
Fri14,929
Fri15,1051
Fri16,1338
Fri17,1556
Fri18,1197
Fri19,1058
Fri20,893
Fri21,601
Fri22,523
Fri23,371
Sat00,292
Sat01,211
Sat02,163
Sat03,89
Sat04,56
Sat05,32
Sat06,67
Sat07,162
Sat08,242
Sat09,442
Sat10,754
Sat11,1244
Sat12,1599
Sat13,1930
Sat14,1979
Sat15,2176
Sat16,1952
Sat17,1785
Sat18,1290
Sat19,1119
Sat20,940
Sat21,604
Sat22,551
Sat23,386
Sun00,296
Sun01,212
Sun02,194
Sun03,100
Sun04,52
Sun05,53
Sun06,69
Sun07,137
Sun08,240
Sun09,552
Sun10,884
Sun11,1317
Sun12,1530
Sun13,1770
Sun14,1667
Sun15,1836
Sun16,1799
Sun17,1717
Sun18,1330
Sun19,1202
Sun20,809
Sun21,558
Sun22,326
Sun23,243
